Symbol,Company Name,Index Weight
AMZN,AMAZON.COM INC,22.173185
TSLA,TESLA INC,18.121824
HD,HOME DEPOT INC,5.890439
MCD,MCDONALD S CORP,4.236825
TJX,TJX COMPANIES INC,4.113558
BKNG,BOOKING HOLDINGS INC,3.575674
LOW,LOWE S COS INC,3.168631
SBUX,STARBUCKS CORP,3.031558
MAR,MARRIOTT INTERNATIONAL  CL A,2.099961
RCL,ROYAL CARIBBEAN CRUISES LTD,2.017822
HLT,HILTON WORLDWIDE HOLDINGS IN,1.926939
ORLY,O REILLY AUTOMOTIVE INC,1.887184
GM,GENERAL MOTORS CO,1.790771
DASH,DOORDASH INC   A,1.76195
ROST,ROSS STORES INC,1.74706
ABNB,AIRBNB INC CLASS A,1.546994
F,FORD MOTOR CO,1.406336
AZO,AUTOZONE INC,1.310964
NKE,NIKE INC  CL B,1.243001
EBAY,EBAY INC,1.217943
CVNA,CARVANA CO,1.135712
DHI,DR HORTON INC,1.115242
YUM,YUM  BRANDS INC,1.096276
CMG,CHIPOTLE MEXICAN GRILL INC,1.087542
GRMN,GARMIN LTD,0.969258
CCL,CARNIVAL CORP LTD,0.951002
EXPE,EXPEDIA GROUP INC,0.765196
TPR,TAPESTRY INC,0.750145
WSM,WILLIAMS SONOMA INC,0.71618
PHM,PULTEGROUP INC,0.666588
DRI,DARDEN RESTAURANTS INC,0.622485
ULTA,ULTA BEAUTY INC,0.541062
LEN,LENNAR CORP W/D,0.511895
NVR,NVR INC,0.468661
TSCO,TRACTOR SUPPLY COMPANY,0.416238
GPC,GENUINE PARTS CO,0.406045
RL,RALPH LAUREN CORP,0.404173
BBY,BEST BUY CO INC,0.387221
DECK,DECKERS OUTDOOR CORP,0.377438
LVS,LAS VEGAS SANDS CORP,0.357285
APTV,APTIV PLC,0.324612
LULU,LULULEMON ATHLETICA INC,0.31308
HAS,HASBRO INC,0.291675
NCLH,NORWEGIAN CRUISE LINE HOLDIN,0.247979
MGM,MGM RESORTS INTERNATIONAL,0.240032
DPZ,DOMINO S PIZZA INC,0.232035
WYNN,WYNN RESORTS LTD,0.214203
-,SSI US GOV MONEY MARKET CLASS,0.077786
-,US DOLLAR,0.012799
IXYU6,XAY CONS DISCRET  SEP26,-0.003549
